ids,labels
0,79
1,33
2,72
3,51
4,71
5,79
6,15
7,14
8,23
9,0
10,56
11,75
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,49
22,75
23,79
24,21
25,16
26,39
27,8
28,8
29,45
30,20
31,61
32,41
33,93
34,56
35,73
36,58
37,35
38,25
39,37
40,63
41,24
42,49
43,30
44,56
45,22
46,41
47,58
48,75
49,57
50,4
51,6
52,9
53,57
54,2
55,32
56,71
57,52
58,42
59,69
60,77
61,32
62,3
63,65
64,26
65,98
66,43
67,82
68,63
69,92
70,66
71,90
72,67
73,91
74,67
75,32
76,82
77,16
78,77
79,61
80,71
81,78
82,54
83,6
84,29
85,89
86,78
87,42
88,35
89,67
90,22
91,18
92,26
93,21
94,13
95,21
96,50
97,75
98,37
99,88
100,26
101,83
102,47
103,86
104,43
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,27
113,0
114,9
115,71
116,48
117,43
118,53
119,56
120,85
121,46
122,19
123,92
124,33
125,20
126,3
127,42
128,70
129,46
130,11
131,16
132,1
133,74
134,34
135,91
136,60
137,15
138,52
139,23
140,4
141,11
142,52
143,42
144,7
145,95
146,13
147,39
148,51
149,58
150,58
151,77
152,66
153,60
154,45
155,66
156,58
157,20
158,24
159,74
160,36
161,8
162,87
163,10
164,30
165,47
166,54
167,99
168,51
169,83
170,9
171,45
172,33
173,55
174,95
175,83
176,55
177,73
178,18
179,40
180,39
181,26
182,22
183,80
184,16
185,28
186,10
187,95
188,98
189,83
190,12
191,24
192,45
193,13
194,94
195,24
196,89
197,63
198,7
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,77
207,31
208,80
209,93
210,73
211,11
212,49
213,90
214,97
215,59
216,53
217,67
218,9
219,81
220,94
221,30
222,99
223,77
224,12
225,44
226,0
227,39
228,79
229,71
230,89
231,57
232,59
233,24
234,65
235,41
236,32
237,36
238,82
239,31
240,23
241,24
242,34
243,21
244,11
245,53
246,80
247,44
248,4
249,16
250,91
251,16
252,63
253,68
254,50
255,38
256,58
257,75
258,6
259,42
260,80
261,76
262,89
263,55
264,19
265,91
266,47
267,44
268,6
269,62
270,99
271,51
272,96
273,0
274,42
275,18
276,67
277,80
278,40
279,62
280,78
281,84
282,28
283,89
284,30
285,66
286,18
287,19
288,42
289,92
290,32
291,11
292,86
293,44
294,96
295,12
296,16
297,67
298,43
299,89
300,96
301,12
302,40
303,6
304,95
305,38
306,76
307,31
308,59
309,28
310,19
311,18
312,41
313,42
314,72
315,31
316,93
317,15
318,61
319,8
320,17
321,89
322,65
323,67
324,12
325,2
326,15
327,91
328,94
329,14
330,71
331,36
332,61
333,62
334,5
335,60
336,67
337,91
338,34
339,73
340,9
341,1
342,68
343,62
344,99
345,66
346,21
347,7
348,10
349,65
350,68
351,34
352,37
353,58
354,48
355,40
356,96
357,88
358,35
359,66
360,64
361,39
362,33
363,94
364,63
365,10
366,26
367,54
368,90
369,27
370,90
371,33
372,28
373,29
374,37
375,86
376,7
377,0
378,94
379,35
380,26
381,6
382,41
383,80
384,69
385,27
386,29
387,67
388,85
389,65
390,40
391,57
392,72
393,30
