ids,labels
0,56
1,80
2,30
3,51
4,23
5,79
6,72
7,63
8,71
9,0
10,56
11,18
12,81
13,69
14,40
15,43
16,92
17,88
18,70
19,53
20,70
21,39
22,75
23,72
24,21
25,16
26,39
27,8
28,8
29,91
30,20
31,61
32,91
33,14
34,63
35,86
36,5
37,11
38,25
39,37
40,63
41,24
42,39
43,30
44,56
45,22
46,86
47,58
48,39
49,69
50,4
51,6
52,9
53,57
54,2
55,2
56,71
57,52
58,42
59,69
60,77
61,32
62,50
63,18
64,86
65,98
66,43
67,62
68,63
69,92
70,86
71,69
72,86
73,91
74,76
75,32
76,82
77,10
78,77
79,22
80,71
81,86
82,54
83,27
84,93
85,89
86,99
87,39
88,35
89,67
90,61
91,18
92,14
93,21
94,90
95,55
96,86
97,39
98,37
99,79
100,79
101,57
102,47
103,86
104,34
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,69
113,53
114,9
115,71
116,48
117,43
118,57
119,56
120,85
121,61
122,19
123,92
124,68
125,20
126,21
127,39
128,70
129,98
130,20
131,16
132,1
133,74
134,80
135,91
136,49
137,72
138,52
139,23
140,63
141,11
142,52
143,72
144,7
145,95
146,25
147,39
148,51
149,58
150,58
151,86
152,39
153,71
154,34
155,86
156,58
157,20
158,74
159,80
160,36
161,8
162,28
163,22
164,30
165,47
166,54
167,86
168,86
169,61
170,21
171,26
172,91
173,55
174,95
175,39
176,39
177,73
178,18
179,40
180,39
181,63
182,22
183,65
184,10
185,28
186,36
187,95
188,51
189,83
190,12
191,24
192,99
193,13
194,94
195,24
196,89
197,63
198,7
199,25
200,39
201,78
202,68
203,60
204,6
205,23
206,74
207,31
208,80
209,86
210,69
211,98
212,37
213,90
214,97
215,59
216,2
217,67
218,22
219,25
220,94
221,25
222,99
223,77
224,12
225,2
226,0
227,39
228,79
229,71
230,89
231,57
232,59
233,24
234,63
235,39
236,86
237,36
238,82
239,31
240,49
241,24
242,34
243,72
244,11
245,53
246,80
247,86
248,80
249,39
250,91
251,16
252,72
253,90
254,50
255,86
256,10
257,86
258,39
259,42
260,80
261,76
262,89
263,74
264,19
265,91
266,62
267,1
268,86
269,39
270,99
271,51
272,96
273,0
274,51
275,18
276,67
277,86
278,40
279,62
280,88
281,84
282,28
283,86
284,69
285,66
286,14
287,67
288,42
289,53
290,73
291,38
292,86
293,80
294,63
295,12
296,86
297,86
298,34
299,48
300,80
301,41
302,40
303,72
304,39
305,69
306,76
307,31
308,44
309,28
310,34
311,18
312,41
313,42
314,34
315,37
316,67
317,86
318,61
319,8
320,17
321,85
322,2
323,67
324,81
325,39
326,39
327,91
328,94
329,86
330,71
331,36
332,61
333,62
334,86
335,71
336,73
337,73
338,39
339,40
340,9
341,62
342,68
343,62
344,99
345,66
346,21
347,7
348,10
349,25
350,37
351,65
352,16
353,58
354,86
355,40
356,39
357,61
358,35
359,97
360,64
361,39
362,49
363,94
364,63
365,86
366,88
367,40
368,68
369,63
370,90
371,33
372,28
373,29
374,89
375,86
376,24
377,0
378,94
379,63
380,77
381,6
382,41
383,80
384,69
385,63
386,99
387,67
388,85
389,73
390,69
391,57
392,86
393,30
394,74
395,27
396,86
397,49
398,96
399,40
400,40
401,63
402,39
403,95
404,40
405,57
406,72
407,16
408,95
409,51
410,40
411,47
412,71
413,3
414,98
415,66
416,25
417,10
418,53
419,39
420,80
421,19
422,80
423,80
424,68
425,42
426,77
427,10
428,27
429,32
430,80
431,98
432,92
433,51
434,11
435,19
436,31
437,25
438,22
439,10
440,16
441,5
442,81
443,61
444,63
445,85
446,65
447,61
448,55
449,91
450,22
451,20
452,10
453,18
454,73
455,9
456,77
457,27
458,39
459,25
460,25
461,87
462,76
463,11
464,70
465,38
466,67
467,37
468,6
469,0
470,79
471,97
472,14
473,26
474,95
475,62
476,80
477,34
478,93
479,25
480,37
481,75
482,86
483,62
484,0
485,73
486,79
487,87
488,67
489,39
490,34
491,25
492,49
493,4
494,74
495,69
496,1
497,72
498,89
499,71
500,86
501,61
502,90
503,11
504,11
505,41
506,80
507,58
508,47
509,93
510,68
511,11
512,86
513,57
514,57
515,53
516,32
517,36
518,39
519,70
520,27
521,69
522,44
523,98
524,62
525,46
526,95
527,6
528,39
529,44
530,69
531,63
532,39
533,18
534,98
535,93
536,76
537,72
538,99
539,70
540,86
541,61
542,2
543,39
544,23
545,93
546,37
547,54
548,71
549,24
550,25
551,11
552,30
553,95
554,78
555,42
556,62
557,56
558,63
559,23
560,39
561,93
562,20
563,53
564,68
565,37
566,61
567,39
568,86
569,86
570,63
571,68
572,10
573,98
574,26
575,59
576,32
577,38
578,58
579,73
580,50
581,87
582,82
583,61
584,0
585,41
586,92
587,80
588,10
589,98
590,39
591,25
592,91
593,56
594,57
595,24
596,6
597,30
598,1
599,39
600,22
601,30
602,83
603,25
604,63
605,84
606,66
607,72
608,64
609,77
610,70
611,82
612,13
613,20
614,0
615,48
616,46
617,63
618,61
619,13
620,49
621,39
622,76
623,0
624,17
625,72
626,48
627,51
628,69
629,82
630,75
631,96
632,97
633,86
634,62
635,69
636,61
637,32
638,26
639,44
640,41
641,12
642,85
643,39
644,8
645,10
646,86
647,94
648,63
649,22
650,72
651,66
652,25
653,23
654,19
655,0
656,28
657,5
658,56
659,86
660,20
661,1
662,94
663,51
664,86
665,82
666,17
667,64
668,53
669,73
670,78
671,95
672,83
673,77
674,63
675,28
676,77
677,91
678,86
679,68
680,14
681,14
682,1
683,92
684,72
685,79
686,7
687,21
688,37
689,61
690,73
691,88
692,86
693,62
694,14
695,61
696,63
697,25
698,95
699,39
700,74
701,88
702,63
703,10
704,65
705,26
706,31
707,25
708,39
709,37
710,61
711,37
712,97
713,36
714,82
715,53
716,50
717,38
718,56
719,57
720,86
721,76
722,60
723,25
724,2
725,1
726,61
727,63
728,62
729,21
730,61
731,86
732,90
733,68
734,94
735,88
736,69
737,38
738,0
739,74
740,93
741,39
742,34
743,86
744,61
745,41
746,88
747,83
748,73
749,82
750,50
751,15
752,8
753,62
754,63
755,71
756,80
757,98
758,32
759,7
760,85
761,25
762,18
763,60
764,39
765,80
766,13
767,90
768,54
769,15
770,76
771,51
772,95
773,24
774,7
775,64
776,70
777,10
778,81
779,0
780,12
781,64
782,1
783,79
784,86
785,71
786,22
787,77
788,82
789,14
790,48
791,78
792,72
793,53
794,25
795,1
796,81
797,20
798,70
799,72
800,86
801,39
802,73
803,58
804,99
805,39
806,86
807,53
808,81
809,97
810,36
811,78
812,51
813,52
814,63
815,32
816,18
817,36
818,6
819,7
820,21
821,43
822,81
823,22
824,73
825,54
826,62
827,86
828,57
829,20
830,11
831,62
832,80
833,15
834,26
835,76
836,96
837,71
838,90
839,39
840,84
841,53
842,2
843,51
844,59
845,74
846,32
847,39
848,53
849,21
850,98
851,6
852,88
853,71
854,80
855,32
856,55
857,99
858,24
859,93
860,63
861,49
862,16
863,33
864,9
865,40
866,51
867,68
868,24
869,70
870,22
871,8
872,63
873,53
874,10
875,78
876,39
877,77
878,70
879,25
880,20
881,63
882,69
883,63
884,1
885,63
886,39
887,2
888,25
889,69
890,36
891,18
892,90
893,63
894,47
895,37
896,99
897,19
898,13
899,78
900,78
901,25
902,32
903,86
904,57
905,99
906,25
907,28
908,99
909,51
910,72
911,86
912,8
913,56
914,52
915,28
916,21
917,77
