ids,labels
0,12
1,33
2,55
3,51
4,71
5,6
6,27
7,3
8,23
9,57
10,12
11,27
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,49
22,75
23,96
24,21
25,16
26,39
27,8
28,84
29,98
30,20
31,61
32,41
33,73
34,56
35,27
36,58
37,35
38,25
39,37
40,38
41,32
42,49
43,30
44,56
45,22
46,58
47,58
48,19
49,89
50,4
51,6
52,9
53,57
54,11
55,46
56,71
57,52
58,42
59,69
60,77
61,27
62,31
63,38
64,70
65,98
66,97
67,6
68,63
69,92
70,66
71,90
72,65
73,91
74,3
75,32
76,82
77,22
78,77
79,61
80,71
81,32
82,54
83,6
84,29
85,89
86,78
87,85
88,35
89,30
90,22
91,18
92,55
93,21
94,13
95,21
96,66
97,75
98,37
99,43
100,26
101,53
102,47
103,86
104,43
105,69
106,76
107,17
108,0
109,59
110,5
111,5
112,27
113,0
114,40
115,71
116,8
117,43
118,57
119,56
120,85
121,11
122,15
123,92
124,33
125,20
126,3
127,44
128,70
129,46
130,46
131,16
132,93
133,74
134,80
135,91
136,60
137,97
138,52
139,23
140,4
141,11
142,52
143,80
144,24
145,95
146,10
147,39
148,27
149,58
150,90
151,1
152,27
153,49
154,45
155,66
156,58
157,20
158,7
159,42
160,36
161,8
162,55
163,10
164,2
165,52
166,54
167,27
168,51
169,83
170,55
171,45
172,27
173,16
174,95
175,98
176,95
177,73
178,18
179,40
180,33
181,38
182,22
183,34
184,78
185,28
186,77
187,95
188,98
189,83
190,12
191,7
192,87
193,13
194,94
195,24
196,49
197,63
198,7
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,79
207,31
208,80
209,63
210,93
211,35
212,49
213,90
214,97
215,96
216,53
217,95
218,83
219,81
220,5
221,49
222,20
223,77
224,12
225,93
226,0
227,76
228,37
229,71
230,90
231,57
232,52
233,24
234,65
235,83
236,32
237,36
238,82
239,31
240,23
241,24
242,34
243,64
244,11
245,53
246,65
247,91
248,4
249,16
250,91
251,16
252,36
253,68
254,74
255,38
256,32
257,75
258,69
259,88
260,38
261,76
262,58
263,31
264,19
265,91
266,82
267,1
268,34
269,90
270,99
271,51
272,96
273,0
274,42
275,73
276,67
277,69
278,40
279,62
280,44
281,84
282,28
283,89
284,55
285,66
286,6
287,38
288,43
289,92
290,27
291,38
292,86
293,27
294,52
295,12
296,16
297,81
298,80
299,90
300,33
301,12
302,40
303,24
304,95
305,65
306,76
307,31
308,28
309,28
310,15
311,18
312,41
313,42
314,65
315,32
316,81
317,3
318,61
319,8
320,37
321,31
322,91
323,73
324,81
325,2
326,97
327,91
328,94
329,89
330,71
331,36
332,61
333,62
334,65
335,60
336,73
337,91
338,34
339,67
340,86
341,1
342,68
343,62
344,99
345,66
346,46
347,24
348,10
349,10
350,68
351,43
352,1
353,13
354,48
355,40
356,96
357,14
358,35
