ids,labels
0,68
1,33
2,93
3,37
4,71
5,79
6,27
7,14
8,71
9,0
10,76
11,73
12,13
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,49
22,75
23,85
24,21
25,16
26,39
27,8
28,8
29,29
30,20
31,61
32,85
33,93
34,56
35,30
36,58
37,35
38,25
39,37
40,63
41,76
42,49
43,30
44,56
45,22
46,41
47,58
48,19
49,17
50,4
51,6
52,9
53,57
54,35
55,35
56,71
57,52
58,42
59,95
60,77
61,32
62,31
63,33
64,45
65,35
66,42
67,62
68,63
69,0
70,66
71,12
72,73
73,91
74,67
75,32
76,82
77,10
78,77
79,61
80,71
81,78
82,54
83,6
84,29
85,89
86,78
87,33
88,11
89,67
90,22
91,18
92,27
93,21
94,13
95,4
96,63
97,42
98,37
99,35
100,79
101,83
102,47
103,39
104,43
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,27
113,0
114,9
115,71
116,48
117,43
118,0
119,56
120,85
121,10
122,19
123,62
124,33
125,84
126,21
127,30
128,70
129,46
130,28
131,16
132,1
133,74
134,33
135,91
136,60
137,64
138,52
139,23
140,42
141,11
142,52
143,33
144,72
145,95
146,89
147,39
148,51
149,58
150,58
151,16
152,18
153,60
154,45
155,66
156,58
157,5
158,79
159,42
160,36
161,8
162,87
163,10
164,30
165,47
166,54
167,99
168,51
169,83
170,46
171,37
172,93
173,83
174,95
175,83
176,18
177,73
178,18
179,40
180,39
181,44
182,22
183,80
184,16
185,28
186,22
187,95
188,45
189,83
190,12
191,7
192,45
193,13
194,94
195,24
196,89
197,63
198,7
199,39
200,6
201,78
202,68
203,60
204,6
205,23
206,44
207,31
208,80
209,93
210,30
211,11
212,49
213,33
214,97
215,33
216,2
217,95
218,40
219,81
220,76
221,73
222,71
223,77
224,12
225,73
226,0
227,39
228,79
229,71
230,85
231,0
232,47
233,24
234,65
235,39
236,32
237,50
238,82
239,31
240,23
241,24
242,34
243,72
244,11
245,0
246,80
247,44
248,74
249,39
250,91
251,16
252,72
253,68
254,50
255,88
256,58
257,31
258,6
259,42
260,42
261,76
262,89
263,72
264,19
265,91
266,82
267,93
268,6
269,33
270,99
271,51
272,96
273,0
274,42
275,18
276,67
277,67
278,40
279,62
280,78
281,84
282,28
283,89
284,30
285,66
286,18
287,93
288,42
289,92
290,27
291,3
292,39
293,93
294,96
295,12
296,16
297,67
298,42
299,89
300,33
301,12
302,68
303,7
304,39
305,29
306,76
307,31
308,18
309,28
310,19
311,18
312,41
313,42
314,72
315,29
316,93
317,42
318,61
319,8
320,17
321,89
322,64
323,67
324,12
